domain,bias_score,factually_questionable_flag,propaganda_flag,conspiracy_flag,hate_group_flag,satire_flag
bostonherald.com,1,0,0,0,0,0
bostonreview.net,-2,0,0,0,0,0
boundingintocomics.com,2,0,0,0,0,0
bozemandailychronicle.com,0,0,0,0,0,0
bradford-delong.com,-2,0,0,0,0,0
bramptonguardian.com,-1,0,0,0,0,0
breaking911.com,NaN,1,0,0,0,0
breakingburgh.com,NaN,0,0,0,0,1
breakingdefense.com,1,0,0,0,0,0
breakingnews247.net,NaN,1,0,0,0,0
breakingnewshouse.com,3,1,0,0,0,0
breitbart.com,2,1,0,0,0,0
brennancenter.org,-1,0,0,0,0,0
brexitcentral.com,2,0,0,0,0,0
bridgemi.com,0,0,0,0,0,0
brightside.me,3,1,0,1,0,0
bringmethenews.com,0,0,0,0,0,0
britainfirst.org,3,1,0,0,1,0
brookings.edu,-1,0,0,0,0,0
brownsvilleherald.com,-1,0,0,0,0,0
bt.dk,1,0,0,0,0,0
budapestbeacon.com,-1,0,0,0,0,0
buffalochronicle.com,3,1,0,0,0,0
buffalonews.com,-1,0,0,0,0,0
bullshido.net,0,0,0,0,0,0
bullshitnews.org,NaN,0,0,0,0,1
burnettcountysentinel.com,0,0,0,0,0,0
burrardstreetjournal.com,NaN,0,0,0,0,1
business.financialpost.com,1,0,0,0,0,0
business2community.com,0,0,0,0,0,0
businessinsider.com,0,0,0,0,0,0
businesslive.co.za,1,0,0,0,0,0
bust.com,-2,0,0,0,0,0
bustatroll.org,NaN,0,0,0,0,1
bustle.com,-1,0,0,0,0,0
buzzfeednews.com,-2,0,0,0,0,0
buzzsawpolitics.com,2,0,0,0,0,0
c-span.org,0,0,0,0,0,0
c4ads.org,-1,0,0,0,0,0
c4ss.org,-2,0,0,0,0,0
ca-political.com,2,0,0,0,0,0
cadizrecord.com,-1,0,0,0,0,0
cair.com,3,1,0,0,0,0
caldronpool.com,3,1,1,0,0,0
calgaryherald.com,1,0,0,0,0,0
calgarysun.com,2,0,0,0,0,0
californiaglobe.com,1,0,0,0,0,0
caller.com,-1,0,0,0,0,0
